accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
4135	E-MTAB-8824	rnaseq_mrna_differential	Danio rerio	larval stage	whole organism	3 day		Autosomal recessive cutis laxa type 2A	male
4136	E-MTAB-8830	rnaseq_mrna_differential	Homo sapiens	adult	blood			normal	
4137	E-MTAB-8834	rnaseq_mrna_differential	Mus musculus	adult	mammary gland	8 week		breast cancer	female
4138	E-MTAB-8838	rnaseq_mrna_differential	Mus musculus	adult	cerebellum; cerebral cortex; spinal cord	8 to 10 week			female
4139	E-MTAB-8840	rnaseq_mrna_differential	Mus musculus	adult	white adipose tissue	13 week; 28 week			male
4140	E-MTAB-8845	rnaseq_mrna_differential	Arabidopsis thaliana		whole organism	10 day			
4141	E-MTAB-8847	rnaseq_mrna_differential	Schizosaccharomyces pombe		whole organism				
4142	E-MTAB-8850	rnaseq_mrna_differential	Mus musculus	adult	subcutaneous adipose tissue	3 month			male
4143	E-MTAB-8860	rnaseq_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
4144	E-MTAB-8865	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	brain	19 day; 34 day			female
4145	E-MTAB-8872	rnaseq_mrna_differential	Mus musculus	embryo stage	blastocyst			normal	
4146	E-MTAB-8875	rnaseq_mrna_differential	Homo sapiens		blood	121 month, 4.3 month, 3.4 month		familial hemophagocytic lymphohistiocytosis 5	not available
4147	E-MTAB-8882	rnaseq_mrna_differential	Mus musculus	adult	spleen	8 week			male
4148	E-MTAB-8883	rnaseq_mrna_differential	Mus musculus	adult	spleen	10 week			female, male
4149	E-MTAB-8887	microarray_1colour_mrna_differential	Homo sapiens	adult	liver	47 year, 73 year, 63 year, 60 year; 66 year, 33 year; 81 year, 57 year, 46 year, 58 year, 54 year		hepatocellular carcinoma	female; female, male
4150	E-MTAB-8903	rnaseq_mrna_differential	Homo sapiens		bronchus			normal	
4151	E-MTAB-8922	microarray_1colour_mrna_differential	Mus musculus	aged; young	bone marrow	24 month; 3 month			
4152	E-MTAB-8934	rnaseq_mrna_differential	Mus musculus	embryonic day 13.5 day	ganglionic eminence				mixed
4153	E-MTAB-8943	rnaseq_mrna_differential	Homo sapiens	late embryo stage	lung			normal	
4154	E-MTAB-8944	rnaseq_mrna_baseline	Zea mays	LP.16 sixteen leaves visible stage	leaf		wild type genotype		
4155	E-MTAB-8958	rnaseq_mrna_differential	Danio rerio	adult	gill	6 month			
4156	E-MTAB-8963	rnaseq_mrna_differential	Mus musculus	adult	dentate gyrus of hippocampal formation	4 month			female, male
4157	E-MTAB-8964	rnaseq_mrna_differential	Mus musculus	adult	testis	60 day			male
4158	E-MTAB-8969	rnaseq_mrna_differential	Arabidopsis thaliana		aerial part	4 week			
4159	E-MTAB-9000	rnaseq_mrna_differential	Mus musculus	embryo	forelimb	10.5 day			
4160	E-MTAB-9008	microarray_1colour_mrna_differential	Mus musculus		cardiac atrium	4 day			male
4161	E-MTAB-9009	rnaseq_mrna_differential	Mus musculus	adult	liver			non-alcoholic fatty liver disease	
4162	E-MTAB-901	microarray_1colour_mrna_differential	Mus musculus		spleen			lymphocytic choriomeningitis virus WE	
4163	E-MTAB-9018	rnaseq_mrna_differential	Danio rerio	larval stage		8 day			
4164	E-MTAB-9027	rnaseq_mrna_differential	Arabidopsis thaliana	cotyledon emergence stage	whole organism	5 day			
4165	E-MTAB-9042	microarray_1colour_mrna_differential	Saccharomyces cerevisiae						
4166	E-MTAB-9045	rnaseq_mrna_differential	Homo sapiens	adult	prefrontal cortex	31 year, 19 year, 24 year, 48 year		Cornelia de Lange syndrome	female, male
4167	E-MTAB-9050	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	10 day			
4168	E-MTAB-9055	microarray_1colour_mrna_differential	Homo sapiens	adult	blood			normal	male
4169	E-MTAB-9077	rnaseq_mrna_differential	Mus musculus	adult	epithelium of small intestine			normal	
4170	E-MTAB-9081	rnaseq_mrna_differential	Drosophila melanogaster	adult	whole body	35 day			female
4171	E-MTAB-9098	rnaseq_mrna_differential	Sus scrofa	prepubertal	hippocampus	7 week			female, male
4172	E-MTAB-910	microarray_1colour_mrna_differential	Homo sapiens		skin			Subcutaneous panniculitis-like T-cell lymphoma	
4173	E-MTAB-9101	rnaseq_mrna_differential	Sus scrofa	sexually mature stage	cortex of kidney; jejunal epithelium	16 month			female
4174	E-MTAB-9113	rnaseq_mrna_differential	Danio rerio	embryo		24 hour			
4175	E-MTAB-9129	rnaseq_mrna_differential	Oryza sativa Japonica Group	leaf production stage	vascular leaf	28 day			
4176	E-MTAB-9143	rnaseq_mrna_differential	Mus musculus	embryo	retina	embryonic day 14.5			female
4177	E-MTAB-9147	rnaseq_mrna_differential	Caenorhabditis elegans	L4 larva	whole organism				
4178	E-MTAB-9148	rnaseq_mrna_differential	Mus musculus	adult	distal colon	8 week		digestive system disease	
4179	E-MTAB-9164	rnaseq_mrna_differential	Mus musculus		bone marrow; brain	6 to 8 week			male
4180	E-MTAB-9171	rnaseq_mrna_differential	Mus musculus	embryo stage	mouse embryonic fibroblast cell	12.5 to 13.5 day			male
4181	E-MTAB-9180	rnaseq_mrna_differential	Mus musculus	adult	epithelium of crypt of Lieberkuhn; intestine smooth muscle	8 to 12 week			male
4182	E-MTAB-9181	rnaseq_mrna_differential	Mus musculus	adult	epithelium of small intestine	12 to 15 week			male
4183	E-MTAB-9182	rnaseq_mrna_differential	Mus musculus	adult	epithelium of small intestine	7 to 8 week		normal	male
4184	E-MTAB-9183	rnaseq_mrna_differential	Mus musculus	adult	epithelium of small intestine				
4185	E-MTAB-9184	rnaseq_mrna_differential	Mus musculus	adult	crypt of Lieberkuhn of large intestine	59 day, 69 day			female, male
4186	E-MTAB-9187	microarray_1colour_mrna_differential	Mus musculus	adult	ileum	14 week			female
4187	E-MTAB-9192	rnaseq_mrna_baseline	Mus musculus	adult	brown adipose tissue; inguinal fat pad; white adipose tissue	12 week	wild type genotype		male
4188	E-MTAB-9194	rnaseq_mrna_differential	Homo sapiens	embryo	inner cell mass			normal	
4189	E-MTAB-9196	rnaseq_mrna_differential	Arabidopsis thaliana	mid rosette growth stage; whole plant flowering stage	flower bud; leaf	10 week; 6 week			
4190	E-MTAB-9206	rnaseq_mrna_differential	Homo sapiens	adult	mammary gland			breast cancer	
4191	E-MTAB-9207	rnaseq_mrna_differential	Homo sapiens		colon			colon carcinoma	
4192	E-MTAB-9209	rnaseq_mrna_differential	Homo sapiens		bone marrow			adult acute myeloid leukemia	male
4193	E-MTAB-921	microarray_1colour_mrna_differential	Mus musculus			10.5 day			
4194	E-MTAB-9213	rnaseq_mrna_differential	Mus musculus	adult	islet of Langerhans	22 week			female
4195	E-MTAB-9218	rnaseq_mrna_differential	Mus musculus	adult	islet of Langerhans			insulinoma	
4196	E-MTAB-9250	microarray_1colour_mrna_differential	Homo sapiens		blood; bone marrow			adult T acute lymphoblastic leukemia; childhood B acute lymphoblastic leukemia; childhood T acute lymphoblastic leukemia	
4197	E-MTAB-9255	microarray_1colour_mrna_differential	Rattus norvegicus	adult	urinary bladder	9 week		diabetes mellitus; polyuria	male
4198	E-MTAB-9273	rnaseq_mrna_differential	Homo sapiens	adult	skin			malignant melanoma	
4199	E-MTAB-9275	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	6 to 10 week; not available		normal	female; female, male; male
4200	E-MTAB-93	microarray_1colour_mrna_differential	Homo sapiens						
4201	E-MTAB-9308	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	3.5 week			
4202	E-MTAB-9315	rnaseq_mrna_differential	Homo sapiens		nervous system			neuroblastoma	
4203	E-MTAB-9342	rnaseq_mrna_differential	Brassica napus	sporophyte vegetative stage	leaf	32 day			
4204	E-MTAB-9344	microarray_1colour_mrna_differential	Mus musculus	embryonic day 11.5	ovary	11.5 day			female
4205	E-MTAB-9355	rnaseq_mrna_differential	Saccharomyces cerevisiae						
4206	E-MTAB-9361	rnaseq_mrna_differential	Mus musculus		heart left ventricle	8 week			male
4207	E-MTAB-9362	rnaseq_mrna_differential	Homo sapiens	adult	skin of scalp			normal	male
4208	E-MTAB-9372	rnaseq_mrna_baseline	Homo sapiens	late embryonic stage	intestine; kidney; lung; umbilical vein	13 week,15.4 week,13.4 week,11.1 week,18.9 week,18.1 week,15.7 week; 13 week,16.1 week,16.4 week,15.7 week,20.3 week; 13 week,16.4 week,15.7 week,20.3 week; 15 week,17.9 week,18.6 week,18.4 week; 17.9 week,18.6 week,14 week,18.4 week; 18.9 week,16.4 and 17.9 week,18.1 week,15.4 week,13.4 week; not applicable		normal	female; female,male; female,male,mixed
4209	E-MTAB-9392	rnaseq_mrna_differential	Mus musculus		pancreas	8 week			male
4210	E-MTAB-9397	microarray_1colour_mrna_differential	Homo sapiens	adult	bone	43 year, 21 year		Shwachman-Diamond syndrome	male
4211	E-MTAB-9419	rnaseq_mrna_differential	Solanum lycopersicum	early whole plant fruit ripening stage; whole plant fruit ripening complete stage	fruit	21 week			
4212	E-MTAB-9429	rnaseq_mrna_differential	Mus musculus		lung			influenza	
4213	E-MTAB-9471	rnaseq_mrna_differential	Homo sapiens	adult	skin			hypertrophic scar	
4214	E-MTAB-9472	rnaseq_mrna_differential	Homo sapiens	adult	skin			hypertrophic scar	
4215	E-MTAB-9479	rnaseq_mrna_differential	Homo sapiens		ovary			ovarian carcinoma	
4216	E-MTAB-9484	rnaseq_mrna_differential	Homo sapiens	adult	prostate			prostate carcinoma	
4217	E-MTAB-9495	rnaseq_mrna_differential	Mus musculus						
4218	E-MTAB-9538	rnaseq_mrna_differential	Mus musculus	embryo	endocrine pancreas	embryonic day 18.5 day			male
4219	E-MTAB-9540	rnaseq_mrna_differential	Mus musculus	adult	tendon fascicle	87 day			male
4220	E-MTAB-9563	microarray_1colour_mrna_differential	Arabidopsis thaliana		root	5 day			
4221	E-MTAB-9566	rnaseq_mrna_differential	Saccharomyces cerevisiae						
4222	E-MTAB-9569	rnaseq_mrna_differential	Arabidopsis thaliana	1 to 2 days after pollination; 4 days after pollination; stage 12 to 13	plant ovary; seed				
4223	E-MTAB-9575	rnaseq_mrna_differential	Arabidopsis thaliana	LP.07 seven leaves visible stage	whole organism	3 week			
4224	E-MTAB-9618	rnaseq_mrna_differential	Mus musculus	embryonic day 10; embryonic day 9	yolk sac	10 day; 9 day			not available
4225	E-MTAB-9624	rnaseq_mrna_differential	Mus musculus		prostate gland	20 week			male
4226	E-MTAB-9628	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	8 to 12 week			mixed
4227	E-MTAB-9639	rnaseq_mrna_differential	Homo sapiens	embryo	inner cell mass			normal	
4228	E-MTAB-964	rnaseq_mrna_baseline	Zea mays	flowering stage; seedling	immature style; plant ovary; pollen; style; whole organism				
4229	E-MTAB-9641	rnaseq_mrna_baseline	Homo sapiens	juvenile stage	thymus			normal	
4230	E-MTAB-9658	rnaseq_mrna_differential	Homo sapiens	adult	caecum; ileum; rectum	53 year, 43 year, 64 year, 49 year, 66 year, 75 year, 46 year, 54 year; 53 year, 60 year, 43 year, 64 year, 49 year, 75 year, 66 year, 46 year, 54 year; 59 year, 68 year, 20 year, 23 year, 22 year, 61 year, 71 year; 59 year, 68 year, 23 year, 22 year, 61 year, 71 year, 42 year; 68 year, 23 year, 60 year, 22 year, 61 year, 71 year, 42 year		primary sclerosing cholangitis/ulcerative colitis; ulcerative colitis	female, male
4231	E-MTAB-9667	rnaseq_mrna_differential	Homo sapiens		pigmented layer of retina			normal	
4232	E-MTAB-9694	rnaseq_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	2 week			
4233	E-MTAB-970	rnaseq_mrna_differential	Mus musculus	embryonic day 9.5	pancreatic bud				
4234	E-MTAB-9704	rnaseq_mrna_differential	Mus musculus	embryo	whole organism	14 day		normal	
4235	E-MTAB-9711	rnaseq_mrna_differential	Homo sapiens	adult	liver				
4236	E-MTAB-9712	rnaseq_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
4237	E-MTAB-9721	microarray_1colour_mrna_differential	Homo sapiens	adult	blood	66 year, 55 year, 57 year; 66 year, 76 year, 61 year; 76 year, 55 year, 61 year, 57 year, 66 year; 76 year, 55 year, 61 year, 66 year; 76 year, 57 year, 61 year; 76 year, 61 year, 55 year; 76 year, 61 year, 55 year, 66 year		COVID-19	female, male; male
4238	E-MTAB-9726	rnaseq_mrna_differential	Oryza sativa Japonica Group	adult	anther	3.5 month			
4239	E-MTAB-9729	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	24 week			female
4240	E-MTAB-9745	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	12 week			female
4241	E-MTAB-9749	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	12 week			male
4242	E-MTAB-9750	rnaseq_mrna_differential	Mus musculus	adult	mammary gland			breast cancer	
4243	E-MTAB-9752	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	12 week			female, male
4244	E-MTAB-9767	rnaseq_mrna_differential	Homo sapiens		blood	34 year, 45 year, 54 year, 60 year		multiple myeloma	female, male
4245	E-MTAB-9770	microarray_1colour_mrna_differential	Mus musculus	adult	lung	8 to 12 week			
4246	E-MTAB-9771	rnaseq_mrna_differential	Caenorhabditis elegans	adult	whole organism				hermaphrodite
4247	E-MTAB-9773	rnaseq_mrna_differential	Mus musculus	embryo	inner cell mass			normal	
4248	E-MTAB-9789	rnaseq_mrna_differential	Homo sapiens	adult	skin of body	18 year, 19 year, 20 year, 23 year, 21 year; 68 year, 65 year, 72 year, 82 year, 69 year, 66 year, 71 year, 79 year, 74 year, 81 year, 67 year, 75 year, 78 year, 70 year; 68 year, 86 year, 65 year, 72 year, 85 year, 82 year, 69 year, 66 year, 71 year, 81 year, 77 year, 67 year, 75 year, 70 year; 68 year, 86 year, 65 year, 72 year, 85 year, 82 year, 69 year, 71 year, 66 year, 81 year, 77 year, 67 year, 75 year, 70 year; old; young		normal	female, male
4249	E-MTAB-9791	rnaseq_mrna_differential	Triticum aestivum	first flag leaf emergence	leaf	60 day			
4250	E-MTAB-9797	rnaseq_mrna_differential	Mus musculus	embryo	inner cell mass			normal	
4251	E-MTAB-9805	rnaseq_mrna_differential	Drosophila melanogaster		antenna				mixed
4252	E-MTAB-9806	rnaseq_mrna_differential	Mus musculus		bone marrow				
4253	E-MTAB-9808	rnaseq_mrna_differential	Sus scrofa	adult	blood	170 day			female; male
4254	E-MTAB-9809	rnaseq_mrna_differential	Mus musculus	adult	adipose tissue of abdominal region	24 week			female; male
4255	E-MTAB-9812	microarray_1colour_mrna_differential	Mus musculus	adult	brain	18 week			female; male
4256	E-MTAB-9838	rnaseq_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	2 week			
4257	E-MTAB-9848	rnaseq_mrna_differential	Homo sapiens		colon			colorectal adenocarcinoma	
4258	E-MTAB-9850	rnaseq_mrna_differential	Mus musculus	adult	colon	10 week		colitis	male
4259	E-MTAB-9852	rnaseq_mrna_differential	Danio rerio	larval day 4	whole organism	96 hour			mixed
4260	E-MTAB-9853	rnaseq_mrna_differential	Danio rerio	larval day 4	whole organism	96 hour			mixed
4261	E-MTAB-9863	rnaseq_mrna_differential	Homo sapiens	adult	bone marrow	20 to 30 year		normal	male
4262	E-MTAB-9864	rnaseq_mrna_differential	Mus musculus	adult	liver	12 week; 8 week		acute liver damage; non-alcoholic steatohepatitis and chronic liver damage; normal	male
4263	E-MTAB-9865	rnaseq_mrna_differential	Mus musculus	adult	epithelium of small intestine	12 week			male
4264	E-MTAB-9869	rnaseq_mrna_differential	Mus musculus	adult	brain			normal	male
4265	E-MTAB-9874	rnaseq_mrna_differential	Homo sapiens	adult	blood			normal	male
4266	E-MTAB-988	microarray_1colour_mrna_differential	Mus musculus		hippocampus	8 week			male
4267	E-MTAB-9899	rnaseq_mrna_differential	Danio rerio	embryo stage	whole organism	24 hour			
4268	E-MTAB-9907	rnaseq_mrna_differential	Mus musculus	embryo	spinal cord			neuroblastoma	
4269	E-MTAB-9932	rnaseq_mrna_differential	Medicago truncatula		root	42 day			
4270	E-MTAB-9933	rnaseq_mrna_differential	Homo sapiens	embryo	inner cell mass			normal	
4271	E-MTAB-9942	rnaseq_mrna_differential	Medicago truncatula		root	42 day			
4272	E-MTAB-9943	rnaseq_mrna_differential	Mus musculus	adult	brain	8 week		none; status epilepticus	male
4273	E-MTAB-9950	rnaseq_mrna_differential	Homo sapiens		blood			Parkinson's disease	female; male
4274	E-MTAB-9962	rnaseq_mrna_differential	Homo sapiens		blastocyst			normal	
4275	E-MTAB-9975	rnaseq_mrna_differential	Mus musculus	adult	spleen	198 day			female
4276	E-NASC-75	microarray_1colour_mrna_differential	Arabidopsis thaliana		aerial part	2 week			
4277	E-NASC-76	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
4278	E-PROT-1	proteomics_baseline	Homo sapiens	adult; fetus	B cell; CD4-positive T cell; CD8-positive T cell; adrenal gland; brain; colon; esophagus; frontal cortex; gall bladder; gut; heart; kidney; liver; lung; monocyte; natural killer cell; ovary; pancreas; placenta; platelet; prostate gland; rectum; retina; spinal cord; testis; urinary bladder				
4279	E-PROT-10	proteomics_baseline	Mus musculus	adult	differentiated myotube; skeletal muscle tissue	15 month	wild type genotype		female; male
4280	E-PROT-100	proteomics_baseline	Homo sapiens	adult	liver			metastatic colorectal cancer	
4281	E-PROT-101	proteomics_baseline	Homo sapiens	adult	colorectum			metastatic colorectal cancer	
4282	E-PROT-102	proteomics_baseline	Homo sapiens	adult	colon; lung		wild type genotype	colon adenocarcinoma; colon carcinoma; lung adenocarcinoma	
4283	E-PROT-103	proteomics_baseline	Homo sapiens	adult	transverse colon,rectum,ascending colon,sigmoid colon	68 year,65 year,56 year,64 year,73 year,40 year,67 year,69 year; 68 year,65 year,56 year,73 year,64 year,40 year,67 year,69 year		metastatic colorectal cancer	female,male
4284	E-PROT-104	proteomics_baseline	Homo sapiens	adult	colorectum	59 year,60 year,56 year,64 year,82 year,50 year,74 year,62 year; 68 year,86 year,51 year,80 year,72 year,76 year,87 year,81 year,77 year,60 year,56 year,48 year,67 year,75 year		colon carcinoma,rectal adenocarcinoma; rectum adenoma,colon adenoma	female,male
4285	E-PROT-105	proteomics_baseline	Homo sapiens	adult	colon	68 year,29 year,72 year,39 year,66 year,71 year,35 year,not available,73 year,64 year,49 year,70 year,54 year; 68 year,90 year,29 year,65 year,53 year,73 year,64 year,39 year,49 year,54 year; 90 year,29 year,65 year,18 year,69 year,66 year,58 year,63 year,53 year,not available,49 year,41 year,62 year; 90 year,65 year,72 year,85 year,61 year,71 year,50 year,74 year,58 year,53 year,56 year,49 year,57 year; not available,41 year		colon adenoma; normal	female,male; female,not available,male; not available,female; not available,female,male
4286	E-PROT-106	proteomics_baseline	Homo sapiens	adult	colorectum			colorectal cancer	
4287	E-PROT-107	proteomics_baseline	Homo sapiens	adult	blood serum			colorectal cancer; normal	
4288	E-PROT-108	proteomics_baseline	Homo sapiens	adult	colorectum	65 year,36 year,76 year,69 year,61 year,66 year,71 year,79 year,74 year,59 year,38 year,32 year,48 year,83 year,70 year,62 year; 65 year,36 year,76 year,69 year,61 year,71 year,66 year,79 year,74 year,59 year,38 year,32 year,48 year,83 year,70 year,62 year		metastatic colorectal cancer	female,male
4289	E-PROT-109	proteomics_baseline	Homo sapiens	adult	blood			metastatic colorectal cancer	
4290	E-PROT-11	proteomics_baseline	Mus musculus		adrenal gland; brown adipose tissue; cerebellum; cerebral cortex; colon; cortex of kidney; diaphragm; duodenum; embryonic tissue; eye; heart; ileum; liver; lung; medulla oblongata; midbrain; olfactory bulb; ovary; pancreas; renal medulla; saliva-secreting gland; skeletal muscle; spleen; stomach; thymus; uterus; white adipose tissue				female
4291	E-PROT-110	proteomics_baseline	Homo sapiens	adult	colon		wild type genotype	colon adenocarcinoma; colon carcinoma	
4292	E-PROT-111	proteomics_baseline	Sus scrofa	not available	retina		wild type genotype	normal; retinal vein occlusion	not available
4293	E-PROT-113	proteomics_baseline	Sus scrofa	juvenile; neonate	biceps femoris	2 day; 90 day	wild type genotype		not applicable
4294	E-PROT-114	proteomics_baseline	Sus scrofa	juvenile	biliary system; brain; diaphragm; heart; kidney; liver; lung; pancreas; spleen	6 month	wild type genotype		not applicable
4295	E-PROT-115	proteomics_baseline	Sus scrofa	adult	heart		wild type genotype		female
4296	E-PROT-117	proteomics_baseline	Sus scrofa	adult	cecum; colon; ileum; jejunum		wild type genotype		female
4297	E-PROT-118	proteomics_baseline	Sus scrofa	adult	liver	2 year	wild type genotype		female
4298	E-PROT-119	proteomics_baseline	Sus scrofa	juvenile	retina	3 to 6 month	wild type genotype		not available
4299	E-PROT-12	proteomics_baseline	Mus musculus	embryonic day 12.5	embryonic structure; liver; spinal cord; spinal cord × neuroblastoma hybrid cell line			liver cancer; neuroblastoma; normal	
4300	E-PROT-120	proteomics_baseline	Sus scrofa	juvenile	heart left ventricle; heart right ventricle; left cardiac atrium; right cardiac atrium	11 week	wild type genotype		female
4301	E-PROT-122	proteomics_baseline	Sus scrofa	juvenile stage	biceps femoris; triceps	1 month	wild type genotype		female
4302	E-PROT-124	proteomics_baseline	Sus scrofa	juvenile	biceps femoris; triceps brachii	1 month,30 to 44 day	wild type genotype		not available
4303	E-PROT-125	proteomics_baseline	Sus scrofa	adult	liver	6 month	GHR-/-		female; male
4304	E-PROT-126	proteomics_baseline	Sus scrofa	adult	heart	6 month	GHR-/-		female; male
4305	E-PROT-13	proteomics_baseline	Mus musculus		brain; brown adipose tissue; heart; kidney; liver; lung; pancreas; spleen; testis	3 week			male
4306	E-PROT-130	proteomics_baseline	Sus scrofa	adult	subcutaneous adipose tissue; visceral abdominal adipose tissue	2 year	wild type genotype		female
4307	E-PROT-131	proteomics_baseline	Sus scrofa	adult,infant,juvenile stage; infant,adult,juvenile stage	heart; skeletal muscle tissue	1 month,15 month,25 month; 1 month,25 month,15 month	wild type genotype		not available
4308	E-PROT-135	proteomics_baseline	Arabidopsis thaliana	not available; plant embryo development stage; seed imbibition stage; seedling development stage; sporophyte development stage; whole plant flowering stage	carpel; cauline leaf; cotyledon; flower; hypocotyl; leaf; leaf base; leaf tip; pedicel; petal; plant callus; plant embryo; pollen; root; root tip; seed; sepal; shoot apex; silique fruit; stamen; stem internode; stem node	10 day; 14 day; 22 day; 28 to 35 day; 3 day; 30 day; 35 day; 35 to 42 day; 7 day; not available	wild type genotype		
4309	E-PROT-137	proteomics_baseline	Homo sapiens	adult	brain			frontotemporal dementia; normal	not available
4310	E-PROT-138	proteomics_baseline	Homo sapiens	adult	colon			adenoma; colorectal carcinoma; normal	not available
4311	E-PROT-139	proteomics_baseline	Homo sapiens	adult	duodenum			insulin resistant; insulin sensitive	not available
4312	E-PROT-140	proteomics_baseline	Homo sapiens	adult	esophageal endoderm			esophageal squamous cell carcinoma; normal	not available
4313	E-PROT-141	proteomics_baseline	Homo sapiens	adult	heart			aortic valve stenosis; normal	not available
4314	E-PROT-142	proteomics_baseline	Homo sapiens	adult	liver	29 year,30 year,53 year,63 year,80 year,44 year,60 year,56 year,73 year,42 year,46 year; 47 year,18 year; 59 year,64 year,49 year,53 year,56 year; 63 year; 66 year,47 year,60 year; 68 year,59 year,77 year,81 year,63 year,48 year,64 year,66 year,71 year,74 year,58 year; 71 year; 75 year,68 year,73 year; 75 year,83 year; 75 year,84 year; 77 year,53 year,80 year,55 year,57 year,75 year,58 year; 77 year,57 year; 77 year,66 year,75 year,74 year; 83 year,69 year,54 year; 84 year		hepatocellular carcinoma; normal	female; female,male; male
4315	E-PROT-143	proteomics_baseline	Homo sapiens	adult	lung			squamous cell carcinoma	male
4316	E-PROT-144	proteomics_baseline	Homo sapiens	adult	pancreas			normal; pancreatic ductal adenocarcinoma	not available
4317	E-PROT-145	proteomics_baseline	Homo sapiens	adult	skin	26 year,24 year,27 year,28 year,44 year,23 year,22 year,40 year,50 year; 38 year,47 year,77 year,63 year,20 year,23 year,54 year; 47 year,38 year,77 year,63 year,20 year,23 year,54 year		atopic dermatitis; normal	female,male
4318	E-PROT-146	proteomics_baseline	Homo sapiens	adult	thyroid gland	20 year,22 year,64 year,43 year,82 year,37 year,16 year; 35 year,51 year,20 year,84 year,34 year,61 year,78 year,42 year; 59 year,49 year,24 year,50 year,33 year,56 year; 59 year,68 year,30 year,51 year,14 year,36 year,21 year,46 year		follicular thyroid adenoma; follicular thyroid carcinoma; normal; papillary thyroid carcinoma	female,male
4319	E-PROT-147	proteomics_baseline	Homo sapiens	adult	middle frontal gyrus; middle temporal gyrus; not available			Frontotemporal dementia; Normal; frontotemporal dementia; normal	not available
4320	E-PROT-148	proteomics_baseline	Homo sapiens	adult	hippocampus			normal; semantic dementia	not available
4321	E-PROT-149	proteomics_baseline	Homo sapiens	adult	breast			Normal; breast cancer	female
4322	E-PROT-15	proteomics_baseline	Mus musculus		aorta; blood plasma; heart; kidney; liver; lung; spleen	10 to 12 week			female
4323	E-PROT-150	proteomics_baseline	Homo sapiens	adult	arm; dorsum; palm			atopic eczema; dermatitis; normal	female; female,male
4324	E-PROT-151	proteomics_baseline	Homo sapiens	adult	skeletal muscle			normal	male
4325	E-PROT-16	proteomics_baseline	Mus musculus	adult	cerebellum; liver	4 month			male
4326	E-PROT-17	proteomics_baseline	Mus musculus		embryo				
4327	E-PROT-18	proteomics_baseline	Homo sapiens		colon; colorectum; ileum			cecum adenocarcinoma; colon adenocarcinoma; colon carcinoma; colorectal adenocarcinoma; rectosigmoid adenocarcinoma	
4328	E-PROT-19	proteomics_baseline	Homo sapiens		bone marrow; breast; colon; lung; uterine cervix			cervical adenocarcinoma; colon carcinoma; invasive ductal carcinoma; lung adenocarcinoma; neuroblastoma	
4329	E-PROT-20	proteomics_baseline	Homo sapiens		blood; bone; brain; breast; colon; kidney; liver; lung; prostate gland; uterine cervix			blast phase chronic myelogenous leukemia, BCR-ABL1 positive; cervical adenocarcinoma; childhood T acute lymphoblastic leukemia; colon carcinoma; glioblastoma; hepatoblastoma; invasive ductal carcinoma; lung adenocarcinoma; normal; osteosarcoma; prostate carcinoma	
4330	E-PROT-21	proteomics_baseline	Homo sapiens	adult	prostate gland			prostate adenocarcinoma	male
4331	E-PROT-22	proteomics_baseline	Homo sapiens	adult; not available	breast			breast adenocarcinoma; breast carcinoma; breast ductal adenocarcinoma; breast fibrocystic disease; invasive ductal carcinoma; squamous cell breast carcinoma, acantholytic variant; triple-negative breast cancer	not available
4332	E-PROT-23	proteomics_baseline	Homo sapiens	adult	colon; rectum			colon adenocarcinoma; colon mucinous adenocarcinoma; rectal adenocarcinoma; rectal mucinous adenocarcinoma	female,male
4333	E-PROT-24	proteomics_baseline	Homo sapiens		colorectum			colorectal carcinoma	
